Zip_Code,County,City,Place,Type,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev
91436,Alameda County,Encino,Alameda city,Track,818,8849170,545563,34.1365758,-118.5094499,179773,183484,65778
91403,Alameda County,Sherman Oaks,Alameda city,Track,818,693120,7927,34.1519021,-118.4426826,80261,63169,55187
91602,Alameda County,North Hollywood,Alameda city,Track,818,1649228,5619,34.152183,-118.3866139,108180,76209,89557
91604,Alameda County,Studio City,Alameda city,Track,818,1191719,46468,34.1476412,-118.40678,81124,300000,63247
90041,Alameda County,Los Angeles,Alameda city,Track,323,4107036,30513,34.145267,-118.2043861,88527,59408,72801
90042,Alameda County,Los Angeles,Alameda city,Track,323,535234,0,34.1199723,-118.1892861,56625,49009,36976
90017,Alameda County,Los Angeles,Alameda city,Track,323,548004,0,34.1001272,-118.2316884,62747,58114,45685
90065,Alameda County,Los Angeles,Alameda city,Track,323,1347301,0,34.1284623,-118.2299818,104280,300000,76321
90027,Alameda County,Los Angeles,Alameda city,Track,323,753140,23077,34.1124175,-118.2723964,71281,64881,51608
90028,Alameda County,Los Angeles,Alameda city,Track,323,1899967,0,34.1112674,-118.3093146,123433,83180,91067
90068,Alameda County,Los Angeles,Alameda city,Track,323,3985565,360117,34.1319418,-118.3345237,122950,98295,80867
90046,Alameda County,Los Angeles,Alameda city,Track,323,83969,0,34.1025152,-118.3477123,71807,46897,67637
90029,Alameda County,Los Angeles,Alameda city,Track,323,379659,0,34.0929287,-118.304794,41109,28797,35748
90038,Alameda County,Los Angeles,Alameda city,Track,323,404735,0,34.0852963,-118.3277048,58909,47458,47588
90004,Alameda County,Los Angeles,Alameda city,Track,323,340750,0,34.079869,-118.3068568,54342,37893,50701
90026,Alameda County,Los Angeles,Alameda city,Track,323,1030345,0,34.0916923,-118.2740531,109647,93139,74336
90031,Alameda County,Los Angeles,Alameda city,Track,323,943133,18746,34.0700703,-118.1996896,44460,27902,38095
90032,Alameda County,Los Angeles,Alameda city,Track,323,1013911,0,34.0948043,-118.1743332,57923,38818,59471
90033,Alameda County,Los Angeles,Alameda city,Track,323,657447,0,34.059079,-118.1964766,44291,300000,49724
90063,Alameda County,Los Angeles,Alameda city,Track,323,487391,0,34.0449856,-118.1955756,56085,52980,32873
90015,Alameda County,Los Angeles,Alameda city,Track,323,909972,0,34.0175004,-118.1974975,44018,36291,32404
90012,Alameda County,Los Angeles,Alameda city,Track,213,415045,0,34.0592851,-118.2395097,29299,15956,32360
90057,Alameda County,Los Angeles,Alameda city,Track,213,229680,0,34.0637659,-118.2691298,34427,22191,31842
90005,Alameda County,Los Angeles,Alameda city,Track,213,182482,0,34.0529626,-118.2819584,33119,25809,27321
